number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
49,0.8603316326530612,2026-03-01 13:54:18.138611,2026-03-01 13:54:22.935645,0 days 00:00:04.797034,0.652919974756131,92,3.670329244015913,0.007933792976856336,4,0.21228297627133674,1377,4.203785054156366,0.019079723578492764,1.821327085454009,0.7453293743454916,0.8603316326530612,,PRUNED
50,0.8603153200874498,2026-03-01 13:54:22.937641,2026-03-01 13:54:26.613155,0 days 00:00:03.675514,0.6383315894405692,96,3.0253727847242144,0.012244012551114953,6,0.5120785529063083,1242,1.0365973034651672,0.030321616038547883,0.6076564023741247,0.7746505020837154,0.862190121447352,,COMPLETE
51,0.8609711935741734,2026-03-01 13:54:26.615487,2026-03-01 13:54:30.477237,0 days 00:00:03.861750,0.6995283579757665,86,2.902104142874949,0.01744680499067991,5,0.6664129042778703,1132,0.562075886934043,0.011348621734565878,0.664982496257396,0.7017780082817959,0.8629946138436497,,COMPLETE
52,0.8612509751422985,2026-03-01 13:54:30.480755,2026-03-01 13:54:34.655614,0 days 00:00:04.174859,0.6812603635731478,85,2.4992948445304193,0.018382089736646054,5,0.6867381652975344,1152,0.26936739594948966,0.010373394759896609,0.5063493444637643,0.7056388985113762,0.8631384774296694,,COMPLETE
53,0.8613176700600015,2026-03-01 13:54:34.659112,2026-03-01 13:54:38.546158,0 days 00:00:03.887046,0.6934579427139089,83,2.586920861230813,0.020068138450044525,5,0.5938118573708603,1816,0.26609600303957665,0.010690968223700869,0.5104861501489238,0.7042544045403971,0.8715851961360288,0.8630981474704087,COMPLETE
54,0.8618575497683736,2026-03-01 13:54:38.550675,2026-03-01 13:54:41.841247,0 days 00:00:03.290572,0.6888425470893221,83,2.3717780801445634,0.006587038502288145,6,0.3597693951707463,1924,0.261477144889134,0.010314840670797508,0.5424653724633401,0.7017867187489824,0.8618575497683736,,PRUNED
55,0.8611968005701574,2026-03-01 13:54:41.843535,2026-03-01 13:54:44.552449,0 days 00:00:02.708914,0.6369696031523974,86,1.5618672294717726,0.01873608674742411,5,0.1198819864523511,2149,0.16531285226519782,0.021371958568388666,0.5014733481045468,0.7372402325029305,0.8634560006163863,,COMPLETE
56,0.860828654255473,2026-03-01 13:54:44.556439,2026-03-01 13:54:48.796859,0 days 00:00:04.240420,0.6438488848876813,77,1.5571069528831192,0.01796347982142973,4,0.12318845873647714,1711,0.14527427618334948,0.017309978229290222,0.5073909596816967,0.804078731793085,0.8711722655083742,0.8631147008118963,COMPLETE
57,0.8605724687232137,2026-03-01 13:54:48.799357,2026-03-01 13:54:52.695980,0 days 00:00:03.896623,0.6265118559801981,77,1.5342317261410208,0.01835111840712407,4,0.10546980524600032,2033,0.032902944960462296,0.01602311577876621,0.5035098686772322,0.8083270173882863,0.8628022941125483,,COMPLETE
58,0.8543456434012964,2026-03-01 13:54:52.701500,2026-03-01 13:54:56.952992,0 days 00:00:04.251492,0.6678251878065156,80,1.2848319236000847,0.003682667047519443,4,0.14681464611490866,2152,0.07747569805939153,0.01607629867875903,0.5680381859263512,0.7633824182411113,0.8543456434012964,,PRUNED
59,0.8620278987007735,2026-03-01 13:54:56.956981,2026-03-01 13:55:01.273769,0 days 00:00:04.316788,0.7048124420654757,75,0.9046545599536084,0.009359189825369263,4,0.04997885137718679,1753,0.13698407103821658,0.027527926934530624,0.6369855541289708,0.8323209097950538,0.8620278987007735,,PRUNED
60,0.8619821512842986,2026-03-01 13:55:01.275765,2026-03-01 13:55:03.782515,0 days 00:00:02.506750,0.6485746297468437,86,1.677858953207196,0.01857595971882838,4,0.69942731694773,1673,0.17793111139324652,0.04280027554026119,4.708927170711132,0.7958140032250735,0.8619821512842986,,PRUNED
61,0.8597494967784188,2026-03-01 13:55:03.784629,2026-03-01 13:55:06.894018,0 days 00:00:03.109389,0.6201326383968528,83,2.012774154073393,0.014655893974115443,5,0.07270415463555031,2616,0.11381808801107138,0.020953111200271376,0.5009254975633943,0.7331527939329443,0.8629970216024117,,COMPLETE
62,0.8708887519141681,2026-03-01 13:55:06.896338,2026-03-01 13:55:07.941904,0 days 00:00:01.045566,0.68149415598597,72,1.2098604952855327,0.011345554491064662,8,0.15986036203472076,2148,0.27437264153569524,0.012342093038600175,0.5644522100884835,0.7865244691353331,0.8708887519141681,,PRUNED
63,0.8604123527655517,2026-03-01 13:55:07.944341,2026-03-01 13:55:10.479497,0 days 00:00:02.535156,0.6686941041070996,85,1.617717940790115,0.019747296270761067,5,0.016439516944511717,1520,0.682153788373028,0.03442025800945966,0.6405602054210495,0.8730735677118512,0.8714130413845576,0.8631312541533838,COMPLETE
64,0.8703692779613024,2026-03-01 13:55:10.482047,2026-03-01 13:55:11.938596,0 days 00:00:01.456549,0.6005695744756122,87,0.5385733307142733,0.014886340029879416,5,0.3148200946747895,2473,0.3072534868422754,0.08406247125430086,0.8532509715090143,0.7243364081967424,0.8703692779613024,,PRUNED
65,0.86123701014148,2026-03-01 13:55:11.941234,2026-03-01 13:55:13.564565,0 days 00:00:01.623331,0.6390600983196629,74,2.1259864051289528,0.03705775423394008,7,0.6655194775354702,1735,0.19652250518024114,0.012737984904691323,0.552078405203148,0.7412115089112494,0.8639634357754429,,COMPLETE
66,0.8615182363648621,2026-03-01 13:55:13.566062,2026-03-01 13:55:15.281723,0 days 00:00:01.715661,0.636116626532073,73,2.1608763396308706,0.036272372918922866,7,0.6089763510998707,1699,0.056164442846686195,0.013893651557264157,0.5514482245841242,0.7418612618289347,0.8641720078781867,,COMPLETE
67,0.8612596430738412,2026-03-01 13:55:15.284924,2026-03-01 13:55:16.821136,0 days 00:00:01.536212,0.6986075465511031,68,2.1455440795178324,0.04247462815021535,7,0.6488061933266609,1882,0.03144499897361636,0.01354332578173776,0.5690057991940088,0.7438789574835738,0.8718795446446629,0.8637220579595689,COMPLETE
