number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
64,0.8655868671206093,2026-01-01 18:04:53.874589,2026-01-01 18:04:55.492607,0 days 00:00:01.618018,0.6304283341221522,99,3.4174318989887116,0.10614703391017603,5,0.8887596117720921,1717,0.026043953918321202,0.20846589780949396,3.8088010990872387,0.661827360902395,0.8682390133967697,,COMPLETE
65,0.8671080891063362,2026-01-01 18:04:55.494602,2026-01-01 18:04:58.485991,0 days 00:00:02.991389,0.6887872218711019,92,3.1497707982184235,0.028074505113759043,4,4.129791946741347,1497,0.004470531390132262,0.1065177791493527,1.3140448889407728,0.6139097689095118,0.8702031426067359,,COMPLETE
66,0.8673218980843872,2026-01-01 18:04:58.488983,2026-01-01 18:05:01.468180,0 days 00:00:02.979197,0.6851393900807027,96,3.1424961008774903,0.027487822620604077,4,3.4109176800648573,1488,0.0044447036326210635,0.03171186026823957,1.3376723783222133,0.612103863771768,0.8704986949947513,,COMPLETE
67,0.8665711589024474,2026-01-01 18:05:01.470175,2026-01-01 18:05:04.494627,0 days 00:00:03.024452,0.7401879830643179,92,3.168665706765155,0.026633673465646955,4,4.238033697200422,1523,0.0019627000873578566,0.030601335368998697,1.3664232205991607,0.6123528617796437,0.8761099767892057,0.869731823829107,COMPLETE
68,0.8679522493282352,2026-01-01 18:05:04.497620,2026-01-01 18:05:07.305923,0 days 00:00:02.808303,0.6704585423214244,94,3.118719664867648,0.03242469376722362,4,2.722766837769076,1304,0.004603575867916167,0.0605745136269652,1.4172857771493428,0.6131356241657105,0.8709989068775221,,COMPLETE
69,0.8669116159913706,2026-01-01 18:05:07.308915,2026-01-01 18:05:10.892659,0 days 00:00:03.583744,0.7627388555990172,95,3.5701465718631753,0.022652608047461293,4,2.759997157061999,1012,0.0038737200793550345,0.02123985570509212,1.1692781293798786,0.6446744442595845,0.8701784630794271,,COMPLETE
70,0.8671442054877637,2026-01-01 18:05:10.895766,2026-01-01 18:05:13.620828,0 days 00:00:02.725062,0.7236348890686793,99,3.065579763430109,0.03217532457564595,4,1.8485248769874982,1340,0.0010641900272920885,0.062486597008430796,1.739533574033248,0.6023233493266993,0.87664088759619,0.8700087160867179,COMPLETE
71,0.8670948464331463,2026-01-01 18:05:13.622823,2026-01-01 18:05:16.268812,0 days 00:00:02.645989,0.7278338393337447,99,3.0829400453287836,0.033066589963142275,4,1.7774696371608694,1323,0.0012091617362527082,0.06491322444120505,1.7267425151471396,0.6000839051624364,0.8766770039776175,0.87028049185696,COMPLETE
72,0.8671129046238599,2026-01-01 18:05:16.270808,2026-01-01 18:05:18.559651,0 days 00:00:02.288843,0.6706440259153074,94,2.9000851252492246,0.03825186669734338,4,3.1180220713988533,1226,0.0022732052722955563,0.03673254771413498,1.4436400034951762,0.6220854162092574,0.8704391029653957,,COMPLETE
73,0.8663412179406921,2026-01-01 18:05:18.561645,2026-01-01 18:05:22.592181,0 days 00:00:04.030536,0.8239158290771862,97,3.3774041324367183,0.015319485026474167,5,2.5320772366483917,859,0.0010749630312924597,0.06749806945545021,1.044557383960336,0.6394389477907229,0.870092987643382,,COMPLETE
74,0.867183933507334,2026-01-01 18:05:22.595174,2026-01-01 18:05:24.724891,0 days 00:00:02.129717,0.7074064321460973,99,3.4611649618365514,0.04601085090357756,4,1.9124761056831154,1355,0.0067460465492443274,0.02271066171384153,1.8923536402289138,0.614318264213181,0.8765204996580982,0.8703433945546128,COMPLETE
75,0.8672547216149319,2026-01-01 18:05:24.726887,2026-01-01 18:05:26.836911,0 days 00:00:02.110024,0.7024211790599973,100,4.2324637366769,0.04684089719276264,4,1.1377723919741154,1847,0.006301621153767311,0.019803255780480086,2.0701596811303835,0.6633135092942433,0.8764133543931967,0.8701561913108802,COMPLETE
76,0.8662793385405129,2026-01-01 18:05:26.839903,2026-01-01 18:05:28.943856,0 days 00:00:02.103953,0.7016541364765924,100,4.110993679696533,0.04936597167508262,5,1.010046409311588,1830,0.006464551630271731,0.012623329093210933,1.978716899598243,0.6264957512015249,0.8696087271624081,,COMPLETE
