number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
101,0.8655141528060021,2025-12-31 00:44:11.000810,2025-12-31 00:44:31.574438,0 days 00:00:20.573628,,9,0.43502472074522364,4,20,1356,0.8688560015794897,,COMPLETE
102,0.8744859435043483,2025-12-31 00:44:31.576617,2025-12-31 00:44:41.799368,0 days 00:00:10.222751,,10,0.5089813830594043,4,19,1396,0.8744859435043483,,PRUNED
103,0.8654953722876597,2025-12-31 00:44:41.800404,2025-12-31 00:45:03.402070,0 days 00:00:21.601666,,9,0.4315720187826467,5,26,1443,0.8751336306112818,0.8688060405851816,COMPLETE
104,0.8741946046941667,2025-12-31 00:45:03.403365,2025-12-31 00:45:11.147184,0 days 00:00:07.743819,,8,0.4698452399310536,7,20,1359,0.8741946046941667,,PRUNED
105,0.8662496027198043,2025-12-31 00:45:11.147184,2025-12-31 00:45:25.844953,0 days 00:00:14.697769,,9,0.4873846525432539,26,23,1311,0.8662496027198043,,PRUNED
106,0.8685381774229275,2025-12-31 00:45:25.847496,2025-12-31 00:45:43.535137,0 days 00:00:17.687641,,10,0.44378629228717253,10,21,1391,0.8752046594947558,0.8685381774229275,PRUNED
107,0.8733940249058566,2025-12-31 00:45:43.536162,2025-12-31 00:45:53.082392,0 days 00:00:09.546230,,8,0.5046262376864233,2,25,1494,0.8733940249058566,,PRUNED
108,0.8699425027207675,2025-12-31 00:45:53.083812,2025-12-31 00:46:00.718277,0 days 00:00:07.634465,,9,0.47840740139953153,43,14,1422,0.8699425027207675,,PRUNED
109,0.8675172877079099,2025-12-31 00:46:00.719372,2025-12-31 00:46:19.035682,0 days 00:00:18.316310,,10,0.5385556224492014,4,15,1291,0.8675172877079099,,PRUNED
110,0.8654708131482891,2025-12-31 00:46:19.037004,2025-12-31 00:46:40.230389,0 days 00:00:21.193385,,8,0.43293400967559376,6,17,1459,0.868591148115688,,COMPLETE
111,0.8654881490113743,2025-12-31 00:46:40.231837,2025-12-31 00:47:02.295648,0 days 00:00:22.063811,,9,0.45382542722028973,5,26,1450,0.8687964095501344,,COMPLETE
112,0.8746906029991044,2025-12-31 00:47:02.297721,2025-12-31 00:47:10.850778,0 days 00:00:08.553057,,9,0.4334908653078586,4,28,1431,0.8746906029991044,,PRUNED
113,0.8654072483169767,2025-12-31 00:47:10.852951,2025-12-31 00:47:30.740802,0 days 00:00:19.887851,,9,0.46192825895486456,8,25,1328,0.8686886623455423,,COMPLETE
114,0.8655175236682687,2025-12-31 00:47:30.742217,2025-12-31 00:47:57.243103,0 days 00:00:26.500886,,9,0.48040305349125284,5,24,1375,0.8687921959723012,,COMPLETE
115,0.8653908755573962,2025-12-31 00:47:57.244146,2025-12-31 00:48:18.402061,0 days 00:00:21.157915,,9,0.48062267802040615,7,21,1392,0.8750036116381428,0.8686140218239254,COMPLETE
116,0.8655266731515635,2025-12-31 00:48:18.403098,2025-12-31 00:48:37.683382,0 days 00:00:19.280284,,8,0.49403561350925074,3,23,1351,0.8686537498434956,,COMPLETE
117,0.8670574057843996,2025-12-31 00:48:37.684411,2025-12-31 00:48:52.440318,0 days 00:00:14.755907,balanced,7,0.4942804608952341,1,24,1374,0.8670574057843996,,PRUNED
118,0.8736661016459439,2025-12-31 00:48:52.441773,2025-12-31 00:49:01.289804,0 days 00:00:08.848031,,8,0.5070646870782048,3,23,1309,0.8736661016459439,,PRUNED
119,0.8666565139505544,2025-12-31 00:49:01.291826,2025-12-31 00:49:17.210523,0 days 00:00:15.918697,,8,0.5270753363374916,23,28,1232,0.8666565139505544,,PRUNED
120,0.8714389247912473,2025-12-31 00:49:17.212001,2025-12-31 00:49:30.705655,0 days 00:00:13.493654,,10,0.9860999297064392,9,23,1333,0.8714389247912473,,PRUNED
121,0.865372095039054,2025-12-31 00:49:30.706660,2025-12-31 00:49:52.787171,0 days 00:00:22.080511,,9,0.4695151481408098,6,19,1363,0.8687933998516821,,COMPLETE
122,0.8741115370168833,2025-12-31 00:49:52.789320,2025-12-31 00:50:01.077241,0 days 00:00:08.287921,,8,0.48402474395993794,3,21,1407,0.8741115370168833,,PRUNED
123,0.8655406381523821,2025-12-31 00:50:01.079310,2025-12-31 00:50:23.578700,0 days 00:00:22.499390,,9,0.49653877479734404,5,22,1350,0.8755152603750326,0.8688674384336085,COMPLETE
124,0.8746412439444868,2025-12-31 00:50:23.580957,2025-12-31 00:50:33.470778,0 days 00:00:09.889821,,9,0.502669851407476,6,25,1340,0.8746412439444868,,PRUNED
125,0.8652849341718755,2025-12-31 00:50:33.471783,2025-12-31 00:50:56.591106,0 days 00:00:23.119323,,10,0.4894818777793941,7,24,1284,0.8754671051997958,0.8689059625737978,COMPLETE
126,0.8652295557203533,2025-12-31 00:50:56.592467,2025-12-31 00:51:12.428058,0 days 00:00:15.835591,,8,0.5449351924751863,5,22,963,0.8683064306421011,,COMPLETE
127,0.8746111469599638,2025-12-31 00:51:12.430168,2025-12-31 00:51:20.387457,0 days 00:00:07.957289,,9,0.4528680299461872,1,27,1255,0.8746111469599638,,PRUNED
128,0.8739815180437441,2025-12-31 00:51:20.387457,2025-12-31 00:51:29.174132,0 days 00:00:08.786675,,8,0.5195558008492707,8,18,1384,0.8739815180437441,,PRUNED
129,0.8747592241238167,2025-12-31 00:51:29.176242,2025-12-31 00:51:38.263243,0 days 00:00:09.087001,,9,0.47383792341462844,3,9,1409,0.8747592241238167,,PRUNED
130,0.8725753869268331,2025-12-31 00:51:38.264246,2025-12-31 00:51:45.533109,0 days 00:00:07.268863,,7,0.49726310366229337,5,22,1323,0.8725753869268331,,PRUNED
131,0.8655236634531114,2025-12-31 00:51:45.534122,2025-12-31 00:52:08.585612,0 days 00:00:23.051490,,9,0.8312461186666168,4,21,1357,0.8655236634531114,,PRUNED
132,0.8655117450472402,2025-12-31 00:52:08.586615,2025-12-31 00:52:30.070229,0 days 00:00:21.483614,,9,0.46087103974008686,4,20,1353,0.8750361163814275,0.868844564725371,COMPLETE
133,0.8745268754032995,2025-12-31 00:52:30.071341,2025-12-31 00:52:38.075538,0 days 00:00:08.004197,,9,0.4148750497609912,6,23,1431,0.8745268754032995,,PRUNED
134,0.8746219818743921,2025-12-31 00:52:38.076668,2025-12-31 00:52:47.310565,0 days 00:00:09.233897,,10,0.4433192021163541,2,20,1376,0.8746219818743921,,PRUNED
135,0.8664000876424189,2025-12-31 00:52:47.311568,2025-12-31 00:53:08.177887,0 days 00:00:20.866319,,9,0.7347034660611127,7,17,1306,0.8664000876424189,,PRUNED
136,0.8742367404724987,2025-12-31 00:53:08.179949,2025-12-31 00:53:16.653809,0 days 00:00:08.473860,,8,0.48108183373360347,9,24,1473,0.8742367404724987,,PRUNED
137,0.874449827122921,2025-12-31 00:53:16.654434,2025-12-31 00:53:26.302259,0 days 00:00:09.647825,,9,0.5118015936705715,5,19,1414,0.874449827122921,,PRUNED
138,0.8747736706763876,2025-12-31 00:53:26.303294,2025-12-31 00:53:35.223423,0 days 00:00:08.920129,balanced,10,0.46770604872252947,3,25,1345,0.8747736706763876,,PRUNED
139,0.8657414452331192,2025-12-31 00:53:35.224513,2025-12-31 00:53:56.649631,0 days 00:00:21.425118,,9,0.49485987543018733,6,23,1387,0.8755766582234593,0.8690588552551743,COMPLETE
140,0.8653114195182556,2025-12-31 00:53:56.651721,2025-12-31 00:54:19.281572,0 days 00:00:22.629851,,8,0.4933260888695588,7,26,1495,0.868366624611147,,COMPLETE
141,0.8746857874815808,2025-12-31 00:54:19.282576,2025-12-31 00:54:28.857186,0 days 00:00:09.574610,,9,0.511594080310584,4,23,1375,0.8746857874815808,,PRUNED
142,0.868743438857374,2025-12-31 00:54:28.859269,2025-12-31 00:54:47.358732,0 days 00:00:18.499463,,9,0.45259391866231286,6,21,1401,0.8749759224123816,0.868743438857374,PRUNED
143,0.8655175236682686,2025-12-31 00:54:47.360774,2025-12-31 00:55:10.443799,0 days 00:00:23.083025,,9,0.4782770172381083,5,22,1436,0.8753732026080843,0.8688084483439436,COMPLETE
